Country/Region code,Country/Region name,Local authority code,Local authority name,year,median_gross_annual_earnings,price_to_earnings_ratio
E12000006,East of England,E07000245,West Suffolk,2019,"28,240",8.92
E12000006,East of England,E06000031,Peterborough,2020,"27,996",7.50
E12000006,East of England,E07000008,Cambridge,2020,"34,919",12.46
E12000006,East of England,E07000009,East Cambridgeshire,2020,"32,743",9.29
E12000006,East of England,E07000010,Fenland,2020,"28,678",6.97
E12000006,East of England,E07000011,Huntingdonshire,2020,"31,140",9.15
E12000006,East of England,E07000012,South Cambridgeshire,2020,"38,726",9.81
E12000006,East of England,E07000067,Braintree,2020,"33,294",8.71
E12000006,East of England,E07000071,Colchester,2020,"32,523",8.46
E12000006,East of England,E07000076,Tendring,2020,"28,979",8.35
E12000006,East of England,E07000077,Uttlesford,2020,"36,479",11.38
E12000006,East of England,E07000095,Broxbourne,2020,"37,847",9.71
E12000006,East of England,E07000143,Breckland,2020,"26,582",8.46
E12000006,East of England,E07000144,Broadland,2020,"32,001",8.00
E12000006,East of England,E07000145,Great Yarmouth,2020,"28,120",6.67
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2020,"31,123",7.25
E12000006,East of England,E07000147,North Norfolk,2020,"27,213",9.55
E12000006,East of England,E07000148,Norwich,2020,"27,812",7.11
E12000006,East of England,E07000149,South Norfolk,2020,"30,305",8.58
E12000006,East of England,E07000200,Babergh,2020,"31,799",8.96
E12000006,East of England,E07000202,Ipswich,2020,"27,512",7.31
E12000006,East of England,E07000203,Mid Suffolk,2020,"30,805",8.64
E12000006,East of England,E07000244,East Suffolk,2020,"30,001",8.25
E12000006,East of England,E07000245,West Suffolk,2020,"29,477",8.55
E12000006,East of England,E06000031,Peterborough,2021,"28,644",7.75
E12000006,East of England,E07000008,Cambridge,2021,"36,868",12.21
E12000006,East of England,E07000009,East Cambridgeshire,2021,"32,454",10.01
E12000006,East of England,E07000010,Fenland,2021,"27,148",7.92
E12000006,East of England,E07000011,Huntingdonshire,2021,"30,521",9.83
E12000006,East of England,E07000012,South Cambridgeshire,2021,"39,441",10.14
E12000006,East of England,E07000067,Braintree,2021,"31,900",10.03
E12000006,East of England,E07000071,Colchester,2021,"30,974",9.91
E12000006,East of England,E07000076,Tendring,2021,"30,053",8.98
E12000006,East of England,E07000077,Uttlesford,2021,"36,096",12.33
E12000006,East of England,E07000095,Broxbourne,2021,"34,609",11.41
E12000006,East of England,E07000143,Breckland,2021,"26,941",9.37
E12000006,East of England,E07000144,Broadland,2021,"29,171",9.50
E12000006,East of England,E07000145,Great Yarmouth,2021,"27,294",7.69
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2021,"28,124",9.07
E12000006,East of England,E07000147,North Norfolk,2021,"28,011",10.53
E12000006,East of England,E07000148,Norwich,2021,"29,175",7.53
E12000006,East of England,E07000149,South Norfolk,2021,"31,492",9.12
E12000006,East of England,E07000200,Babergh,2021,"30,000",10.67
E12000006,East of England,E07000202,Ipswich,2021,"28,244",7.97
E12000006,East of England,E07000203,Mid Suffolk,2021,"30,000",10.00
E12000006,East of England,E07000244,East Suffolk,2021,"28,934",9.50
E12000006,East of England,E07000245,West Suffolk,2021,"29,137",9.61
E12000006,East of England,E06000031,Peterborough,2022,"30,535",7.70
E12000006,East of England,E07000008,Cambridge,2022,"38,628",11.97
E12000006,East of England,E07000009,East Cambridgeshire,2022,"33,299",9.91
E12000006,East of England,E07000010,Fenland,2022,"31,119",7.46
E12000006,East of England,E07000011,Huntingdonshire,2022,"32,425",9.87
E12000006,East of England,E07000012,South Cambridgeshire,2022,"40,012",10.62
E12000006,East of England,E07000067,Braintree,2022,"36,073",9.30
E12000006,East of England,E07000071,Colchester,2022,"35,063",8.84
E12000006,East of England,E07000076,Tendring,2022,"31,520",8.95
E12000006,East of England,E07000077,Uttlesford,2022,"38,804",12.14
E12000006,East of England,E07000095,Broxbourne,2022,"38,930",10.66
E12000006,East of England,E07000143,Breckland,2022,"30,022",8.83
E12000006,East of England,E07000144,Broadland,2022,"32,042",9.36
E12000006,East of England,E07000145,Great Yarmouth,2022,"31,284",7.03
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2022,"29,224",9.07
E12000006,East of England,E07000147,North Norfolk,2022,"28,783",10.51
E12000006,East of England,E07000148,Norwich,2022,"31,644",7.21
E12000006,East of England,E07000149,South Norfolk,2022,"32,647",9.50
E12000006,East of England,E07000200,Babergh,2022,"31,163",10.75
E12000006,East of England,E07000202,Ipswich,2022,"29,505",7.93
E12000006,East of England,E07000203,Mid Suffolk,2022,"33,200",9.64
E12000006,East of England,E07000244,East Suffolk,2022,"31,394",9.08
E12000006,East of England,E07000245,West Suffolk,2022,"31,955",9.23
E12000006,East of England,E06000031,Peterborough,2023,"33,094",7.40
E12000006,East of England,E07000008,Cambridge,2023,"41,422",11.74
E12000006,East of England,E07000009,East Cambridgeshire,2023,"36,759",9.66
E12000006,East of England,E07000010,Fenland,2023,"34,307",6.94
E12000006,East of England,E07000011,Huntingdonshire,2023,"35,422",9.18
E12000006,East of England,E07000012,South Cambridgeshire,2023,"42,889",10.26
E12000006,East of England,E07000067,Braintree,2023,"36,825",9.50
E12000006,East of England,E07000071,Colchester,2023,"36,252",9.10
E12000006,East of England,E07000076,Tendring,2023,"33,266",8.81
E12000006,East of England,E07000077,Uttlesford,2023,"40,740",11.29
E12000006,East of England,E07000095,Broxbourne,2023,"39,108",11.40
E12000006,East of England,E07000143,Breckland,2023,"31,934",8.77
E12000006,East of England,E07000144,Broadland,2023,"34,424",9.27
E12000006,East of England,E07000145,Great Yarmouth,2023,"32,000",7.19
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2023,"32,492",8.46
E12000006,East of England,E07000147,North Norfolk,2023,"28,937",10.71
E12000006,East of England,E07000148,Norwich,2023,"33,397",7.04
E12000006,East of England,E07000149,South Norfolk,2023,"34,963",9.01
E12000006,East of England,E07000200,Babergh,2023,"30,641",11.02
E12000006,East of England,E07000202,Ipswich,2023,"33,204",7.38
E12000006,East of England,E07000203,Mid Suffolk,2023,"34,791",9.52
E12000006,East of England,E07000244,East Suffolk,2023,"34,072",8.66
E12000006,East of England,E07000245,West Suffolk,2023,"34,439",8.60
E12000006,East of England,E06000031,Peterborough,2024,"35,566",6.64
E12000006,East of England,E07000008,Cambridge,2024,"44,793",10.94
E12000006,East of England,E07000009,East Cambridgeshire,2024,"37,318",9.38
E12000006,East of England,E07000010,Fenland,2024,"34,864",6.60
E12000006,East of England,E07000011,Huntingdonshire,2024,"37,102",8.36
E12000006,East of England,E07000012,South Cambridgeshire,2024,"44,214",9.61
E12000006,East of England,E07000067,Braintree,2024,"40,437",8.16
E12000006,East of England,E07000071,Colchester,2024,"38,703",8.27
E12000006,East of England,E07000076,Tendring,2024,"36,730",7.49
E12000006,East of England,E07000077,Uttlesford,2024,"47,052",9.35
E12000006,East of England,E07000095,Broxbourne,2024,"40,907",10.02
E12000006,East of England,E07000143,Breckland,2024,"32,603",8.07
E12000006,East of England,E07000144,Broadland,2024,"36,503",7.94
E12000006,East of England,E07000145,Great Yarmouth,2024,"33,048",6.64
E12000006,East of England,E07000146,King's Lynn and West Norfolk,2024,"34,690",7.42
E12000006,East of England,E07000147,North Norfolk,2024,"31,049",9.98
E12000006,East of England,E07000148,Norwich,2024,"34,603",6.65
E12000006,East of England,E07000149,South Norfolk,2024,"37,743",7.95
E12000006,East of England,E07000200,Babergh,2024,"35,750",9.09
E12000006,East of England,E07000202,Ipswich,2024,"34,873",6.88
E12000006,East of England,E07000203,Mid Suffolk,2024,"38,551",8.09
E12000006,East of England,E07000244,East Suffolk,2024,"34,480",8.27
E12000006,East of England,E07000245,West Suffolk,2024,"35,560",7.94
